district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
板橋區,房地(土地+建物),新北市板橋區光復街２２號四樓,13,住,,,1110303,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,600507,45.03,0,0,0,無,無,2100000,46636,,0,0,屋況很爛,RPOUMLOJLHHGFAF87DA,45.03,0,0,無
板橋區,房地(土地+建物),新北市板橋區四川路一段６７號二十二樓之５,3.8,商,,,1110321,土地1建物1車位0,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,59.31,0,0,0,無,無,10750000,181251,,0,0,,RPROMLOLLHHGFAF77DA,29.5,3.24,3.63,有
板橋區,房地(土地+建物)+車位,新北市板橋區民族路２４０號十九樓,12.47,商,,,1110301,土地1建物1車位1,十九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100427,181.61,3,2,2,有,有,30000000,183275,坡道平面,34.29,3000000,,RPVRMLPLLHHGFAF58DA,79.06,7.38,10.51,有
板橋區,車位,新北市板橋區文化路一段３６０號等,0.84,住,,,1110317,土地1建物1車位1,,,其他,,,,33.7,0,0,0,有,有,1870000,,坡道平面,33.7,1870000,僅車位交易；,RPOOMLSLLHHGFAF87DA,0,0,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區光環路二段２８號十三樓,16.89,住,,,1110317,土地1建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021226,240.03,4,2,2,有,有,35000000,152348,坡道平面,23.42,2000000,移轉土地面積包含中和區光環段3地號權利範圍444/100000面積12.03平方公尺,RPXQMLSLLHHGFAF98DA,120.17,16.83,11.74,有
板橋區,房地(土地+建物),新北市板橋區民治街５７巷１８號四樓,24.8,住,,,1110312,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700409,94.78,3,2,2,有,無,9700000,102342,,0,0,,RPOPMLTLLHHGFAF08DA,89.18,0,5.6,無
板橋區,土地,幸福段432地號,5.6,都市：其他:道路用地,,,1110316,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,910000,162500,,0,0,包含公共設施保留地用地；,RPWPMLTLLHHGFAF88DA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區三民路二段２２０巷９號三樓,16.75,住,,,1110309,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,591009,57.92,2,1,1,有,無,7000000,120856,,0,0,,RPVPMLSLLHHGFAF78EA,57.92,0,0,無
板橋區,土地,介壽段333-1地號,5.58,都市：其他:道路用地,,,1110304,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2668279,478186,,0,0,,RPXOMLKMLHHGFAF18EA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區府中路１４３號四樓,11.97,商,,,1110302,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720929,97.84,3,2,2,有,有,6400000,65413,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLLJMHHGFAF08EA,67.57,10.48,7.16,有
板橋區,土地,府中段564地號,2.5,住,,,1110316,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,799500,319800,,0,0,包含公共設施保留地用地；,RPTPMLTLLHHGFAF68EA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區金門街１０９巷１８號四樓,30.2,住,,,1110304,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,98.72,3,2,1,有,無,9600000,97245,,0,0,,RPRNMLLMLHHGFAF57EA,98.72,0,0,無
板橋區,房地(土地+建物),新北市板橋區三民路二段３５巷１７號十二樓,13.12,住,,,1110309,土地1建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810305,164.3,3,2,2,有,有,24090000,146622,,0,0,,RPWPMLSLLHHGFAF78DA,133.83,1.38,15.74,有
板橋區,房地(土地+建物)+車位,新北市板橋區新府路１００號二十樓,4.97,都市：其他:第二種特定專用區,,,1110313,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971119,79.61,1,1,1,有,有,12680000,159276,坡道平面,31.02,0,夾層；,RPRQMLSLLHHGFAF38DA,28.93,0,2.35,有
板橋區,房地(土地+建物),新北市板橋區四川路一段５７號三樓,3.24,商,,,1110306,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,820705,34.81,0,0,0,無,有,5580000,160299,,0,0,,RPSPMLTLLHHGFAF48DA,25.9,0.26,0,有
板橋區,房地(土地+建物),新北市板橋區中正路３３６號四樓之三,16.83,住,,,1110304,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830531,116.57,3,2,2,有,有,16350000,140259,,0,0,,RPPNMLKKLHHGFAF96DA,79.46,0.86,11.95,有
板橋區,房地(土地+建物),新北市板橋區田單街２巷２７號二樓,71.5,住,,,1110305,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,109.92,3,2,1,有,無,11000000,100073,,0,0,,RPTNMLMKLHHGFAF57DA,109.92,0,0,無
板橋區,房地(土地+建物),新北市板橋區中山路二段４９１巷１號二樓,30.8,住,,,1110301,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700827,105.06,3,2,1,有,無,11900000,113269,,0,0,,RPUNMLLMLHHGFAF77DA,90,0,15.06,無
板橋區,房地(土地+建物)+車位,新北市板橋區長江路二段６號九樓,11.74,住,,,1110304,土地2建物1車位1,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850120,193.25,4,2,2,有,有,20260000,104838,坡道平面,0,2000000,車位面積無法拆算陽台外推；其他增建；,RPROMLNLLHHGFAF67DA,120.38,0,17.71,有
板橋區,房地(土地+建物),新北市板橋區溪崑二街１１號四樓,27.27,住,,,1110313,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,73.5,3,2,2,有,無,6800000,92517,,0,0,其他增建；,RPSRMLTLLHHGFAF68DA,73.5,0,0,無
板橋區,房地(土地+建物),新北市板橋區滿平街１３６巷１０弄３號三樓,37.91,住,,,1110323,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671216,103.11,4,2,2,有,無,11800000,114441,,0,0,陽台外推；,RPURMLTLLHHGFAF88DA,88.51,0,14.6,無
板橋區,土地,國光段1396地號,63,都市：其他:道路用地,,,1110327,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,8575875,136125,,0,0,包含公共設施保留地用地；,RPSVMLLMLHHGFAF38DA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區四川路一段６７號十三樓之７,3.89,商,,,1110306,土地1建物1車位0,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030116,60.57,1,1,1,有,無,10680000,176325,,0,0,,RPXRMLKMLHHGFAF38DA,31.74,1.41,3.97,有
板橋區,房地(土地+建物),新北市板橋區南雅西路二段２７３巷１２號,76,住,,,1110318,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,630206,84.28,5,2,4,有,無,23900000,283579,,0,0,頂樓加蓋；,RPWNMLQKLHHGFAF28DA,84.28,0,0,無
板橋區,車位,新北市板橋區光環路二段２８之１號,0.04,住,,,1110317,土地1建物1車位1,一層,十七層,其他,辦公室,鋼骨鋼筋混凝土造,1021226,23.42,0,0,0,有,有,2400000,,坡道平面,23.41,2400000,土地含中和區光環段3地號僅車位交易；,RPUOMLQJMHHGFAF18DA,0,0,0,有
板橋區,房地(土地+建物),新北市板橋區民族路２８９巷５號二樓,27.6,住,,,1110315,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691014,105.6,3,2,1,有,無,12800000,121212,,0,0,,RPTPMLQJMHHGFAF18DA,105.6,0,0,無
板橋區,房地(土地+建物),新北市板橋區民治街９２之２號８樓,13.12,住,,,1110302,土地1建物1車位0,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021218,84.23,2,2,1,有,有,14700000,174522,,0,0,陽台外推；,RPTRMLLJMHHGFAF87DA,50.29,3.16,5.83,有
板橋區,房地(土地+建物),新北市板橋區莊敬路２０１號十二樓,4.7,都市：其他:住宅區,,,1110301,土地2建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860526,57.39,1,1,1,有,有,11080000,193065,,0,0,夾層；其他增建；,RPUOMLLMLHHGFAF87DA,36.18,0,7.71,有
板橋區,房地(土地+建物),新北市板橋區懷德街２０７巷８號,36.11,住,,,1110301,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,120.65,4,2,2,有,無,15500000,128471,,0,0,其他增建；,RPPPMLKMLHHGFAF37DA,107.14,13.51,0,無
板橋區,土地,江子翠段第三崁小段49地號,0.56,住,,,1110322,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,220117,0,,0,0,協議價購；,RPRNMLTLLHHGFAF18DA,0,0,0,無
板橋區,土地,江子翠段第三崁小段211-5地號,77.33,都市：其他:人行步道,,,1110318,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,18270084,236261,,0,0,包含公共設施保留地用地；,RPOQMLNLLHHGFAF57DA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區龍泉街９１巷３號,26.74,住,,,1110319,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,,83.46,3,2,2,有,無,16800000,201294,,0,0,其他增建:地下室未登記其他增建；,RPRQMLMLLHHGFAF77DA,75.07,8.39,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段３８５之２號二十一樓,6.95,住,,,1110321,土地1建物1車位1,二十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990209,91.99,2,2,1,有,有,16180000,175889,坡道平面,23.94,0,,RPWPMLQJMHHGFAF58EA,38.39,1.86,6.04,有
板橋區,房地(土地+建物),新北市板橋區民治街８２巷２３號二樓,31.5,住,,,1110311,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,105.43,3,2,2,有,無,13500000,128047,,0,0,,RPURMLLJMHHGFAF08EA,105.43,0,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區重慶路１９８號四樓,37.45,住,,,1110302,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821105,235.08,4,2,2,有,無,28000000,119108,升降平面,0,0,陽台外推；,RPVPMLRJMHHGFAF48DA,169.97,0,20.06,有
